# Stability checks for fixed-tp Y2 shape ansaetze
# model global_rel loo_holdout_rel loo_holdout_p95 pred_spread_mean pred_spread_max
log_hilltop_plus_const 5.1787692977e-03 1.4056849602e-02 2.6724838598e-02 3.0905030933e-03 6.9800808565e-03
# param roughness sign_changes mean_jk_std
c0 5.9486179429e+00 18 1.8060327515e-02
A 1.9541275148e+00 2 1.7598557206e-02
alpha 2.0301762570e+00 0 3.1533723062e-02
# tp holdout_rel_rmse pred_rel_spread_mean c0_jk_std A_jk_std alpha_jk_std
2.6225824381e+00 8.7599899333e-03 2.1297886048e-03 3.7354801846e-03 3.1479840905e-03 3.0094319451e-02
2.7427939574e+00 8.9678080934e-03 2.1729906962e-03 3.8203963931e-03 3.2322818702e-03 3.1547187775e-02
2.8685156218e+00 9.1710568502e-03 2.2153404078e-03 3.9136877500e-03 3.3246655299e-03 3.3050483109e-02
3.0000000000e+00 9.3668974387e-03 2.2562145823e-03 4.0150699933e-03 3.4249864082e-03 3.4595374085e-02
3.2183731270e+00 9.6516287000e-03 2.3156784861e-03 4.1900318267e-03 3.5984202303e-03 3.7075615813e-02
3.4526418615e+00 9.9003791579e-03 2.3676220292e-03 4.3840005150e-03 3.7913648170e-03 3.9589304841e-02
3.7039632614e+00 1.0109875867e-02 2.4114034418e-03 4.6004997774e-03 4.0075725150e-03 4.2116811342e-02
3.9735786079e+00 1.0251365007e-02 2.4403964035e-03 4.8292606805e-03 4.2381226787e-03 4.4515268155e-02
4.2628195366e+00 1.0317566970e-02 2.4529575209e-03 5.0691157488e-03 4.4821953991e-03 4.6718432456e-02
4.5731146139e+00 1.0302218048e-02 2.4475852639e-03 5.3188671032e-03 4.7390244190e-03 4.8655006438e-02
4.9059963933e+00 1.0192761580e-02 2.4212364228e-03 5.5710406176e-03 5.0018468451e-03 5.0208899899e-02
5.2631089844e+00 9.9891878706e-03 2.3737358808e-03 5.8222446609e-03 5.2674123706e-03 5.1314199225e-02
5.6462161733e+00 9.6777973916e-03 2.3016040647e-03 6.0572636295e-03 5.5213722506e-03 5.1822156590e-02
6.0572101337e+00 9.2790834598e-03 2.2093573700e-03 6.2816706742e-03 5.7686152025e-03 5.1767868028e-02
6.4981207730e+00 8.7813675402e-03 2.0939305176e-03 6.4720250704e-03 5.9864002148e-03 5.1001880691e-02
6.9711257572e+00 8.1946649075e-03 1.9573390737e-03 6.6178465191e-03 6.1640506178e-03 4.9501398465e-02
7.4785612673e+00 7.5289958716e-03 1.8016249270e-03 6.7032749432e-03 6.2854607362e-03 4.7252066147e-02
8.0229335370e+00 6.7972855292e-03 1.6295258022e-03 6.7111720882e-03 6.3331630200e-03 4.4270458949e-02
8.6069312317e+00 5.9881232983e-03 1.4380014887e-03 6.5892731407e-03 6.2557259509e-03 4.0416306007e-02
9.2334387273e+00 5.1278835584e-03 1.2331157727e-03 6.3202379277e-03 6.0346993079e-03 3.5817234386e-02
9.9055503565e+00 4.2310514452e-03 1.0182607513e-03 5.8697874989e-03 5.6351578911e-03 3.0540819238e-02
1.0626585692e+01 3.2927950362e-03 7.9240608267e-04 5.1613744657e-03 4.9806881714e-03 2.4522699018e-02
1.1400105941e+01 2.3430717043e-03 5.6354044525e-04 4.1664754229e-03 4.0408286827e-03 1.7968082085e-02
1.2229931535e+01 1.3966396422e-03 3.4110136762e-04 2.8253023644e-03 2.7524838275e-03 1.0956879539e-02
1.3120160999e+01 5.6392906046e-04 1.5860581289e-04 1.2764497648e-03 1.2286958949e-03 4.1151654254e-03
1.4075191193e+01 7.7434835907e-04 2.1113564931e-04 1.9923494580e-03 1.8939588921e-03 5.6864727927e-03
1.5099739031e+01 1.6676875349e-03 4.3335253498e-04 5.0189287096e-03 4.8675795237e-03 1.3528978065e-02
1.6198864774e+01 2.5947708108e-03 6.6465451326e-04 9.0464163405e-03 8.8323997098e-03 2.1827484256e-02
1.7377997026e+01 3.5154488243e-03 8.9507274027e-04 1.4201444943e-02 1.3922181597e-02 3.0317508854e-02
1.8642959543e+01 4.4125588023e-03 1.1207875494e-03 2.0723802122e-02 2.0376970834e-02 3.8838101007e-02
2.0000000000e+01 5.2849972808e-03 1.3410373968e-03 2.8975005941e-02 2.8559099814e-02 4.7348007687e-02
2.2684969009e+01 6.7545998392e-03 1.7133416410e-03 4.9565285139e-02 4.9024061406e-02 6.2172252970e-02
2.5730390946e+01 8.1198094536e-03 2.0606404086e-03 8.1742499236e-02 8.1070361609e-02 7.6409236941e-02
2.9184656059e+01 9.2997053773e-03 2.3143418412e-03 1.2222200655e-01 1.2155057796e-01 8.7784409141e-02
3.3102650911e+01 1.0224619943e-02 2.3574565349e-03 1.3543886146e-01 1.3501422863e-01 9.0032845518e-02
3.7546630501e+01 1.1098414385e-02 2.3941181408e-03 1.2999473502e-01 1.2976242597e-01 8.8087437719e-02
4.2587207465e+01 1.1910927990e-02 2.4838193759e-03 1.3026301382e-01 1.3014727869e-01 8.7755558124e-02
4.8304474075e+01 1.2692752687e-02 2.6266608753e-03 1.3059918803e-01 1.3058217848e-01 8.7178903519e-02
5.4789274868e+01 1.3407213414e-02 2.7787257046e-03 1.3040057460e-01 1.3046744535e-01 8.7060902760e-02
6.2144650119e+01 1.4035090415e-02 2.9197583329e-03 1.3054531387e-01 1.3067683044e-01 8.7443926246e-02
7.0487473100e+01 1.4589485275e-02 3.0453358419e-03 1.3104991854e-01 1.3122865985e-01 8.8356669506e-02
7.9950307138e+01 1.5081149812e-02 3.1546477840e-03 1.3189139895e-01 1.3210191898e-01 8.9781121341e-02
9.0683511982e+01 1.5524642714e-02 3.2492607757e-03 1.3308704521e-01 1.3331486434e-01 9.1776162202e-02
1.0285763295e+02 1.5924636745e-02 3.3303464435e-03 1.3456245263e-01 1.3479504163e-01 9.4263364049e-02
1.1666611078e+02 1.6297668904e-02 3.4011402905e-03 1.3634684347e-01 1.3657190921e-01 9.7347158016e-02
1.3232835537e+02 1.6650536403e-02 3.4637454002e-03 1.3839585261e-01 1.3860204314e-01 1.0101898741e-01
1.5009323203e+02 1.6993286333e-02 3.5210019510e-03 1.4069213101e-01 1.4086843224e-01 1.0532848996e-01
1.7024301585e+02 1.7331988473e-02 3.5755108899e-03 1.4319700046e-01 1.4333279230e-01 1.1029376731e-01
1.9309787692e+02 1.7677388434e-02 3.6312402098e-03 1.4589700481e-01 1.4598155332e-01 1.1599506073e-01
2.1902096768e+02 1.8039184128e-02 3.6926756367e-03 1.4877061725e-01 1.4879298187e-01 1.2251247491e-01
2.4842419320e+02 1.8424005500e-02 3.7644444381e-03 1.5178455909e-01 1.5173356266e-01 1.2991081687e-01
2.8177475619e+02 1.8838207647e-02 3.8514801627e-03 1.5489911407e-01 1.5476341664e-01 1.3824831281e-01
3.1960258057e+02 1.9328167372e-02 3.9807216167e-03 1.5498968351e-01 1.5479460229e-01 1.4636311187e-01
3.6250873177e+02 1.9866833509e-02 4.1409360840e-03 1.5887652925e-01 1.5858664824e-01 1.5569909101e-01
4.1117496727e+02 2.0448666087e-02 4.3317347127e-03 1.6520185492e-01 1.6478650281e-01 1.6631358126e-01
4.6637456948e+02 2.1081417865e-02 4.5543040040e-03 1.7280366030e-01 1.7223739016e-01 1.7834057371e-01
5.2898463275e+02 2.1761884231e-02 4.8069279627e-03 1.8084252097e-01 1.8010434513e-01 1.9182027416e-01
6.0000000000e+02 2.2487018339e-02 5.0832841508e-03 1.8653027435e-01 1.8560968858e-01 2.0632330458e-01

