# Stability checks for fixed-tp Y2 shape ansaetze
# model global_rel loo_holdout_rel loo_holdout_p95 pred_spread_mean pred_spread_max
log_hilltop_plus_const 5.1787692977e-03 1.4056849602e-02 2.6724838598e-02 3.0905030933e-03 6.9800808565e-03
# param roughness sign_changes mean_jk_std
c0 5.9486179429e+00 18 1.8060327515e-02
A 1.9541275148e+00 2 1.7598557206e-02
alpha 2.0301762570e+00 0 3.1533723062e-02
# tp holdout_rel_rmse pred_rel_spread_mean c0_jk_std A_jk_std alpha_jk_std
7.1494416069e-01 1.1197651653e-02 2.8927425009e-03 2.3438348482e-02 2.1694154826e-02 3.5406942581e-02
7.4771511293e-01 1.1044509483e-02 2.8422406674e-03 2.2017690443e-02 2.0387196246e-02 3.5184612264e-02
7.8198818991e-01 1.0881895461e-02 2.7892477170e-03 2.0681592356e-02 1.9157934878e-02 3.4940973191e-02
8.1783224464e-01 1.0701817839e-02 2.7318024219e-03 1.9410764389e-02 1.7988517779e-02 3.4649807437e-02
8.5531928615e-01 1.0515504589e-02 2.6728354682e-03 1.8221487108e-02 1.6894068880e-02 3.4345962422e-02
8.9452462416e-01 1.0316727341e-02 2.6108209374e-03 1.7098473876e-02 1.5860516231e-02 3.4008823439e-02
9.3552702036e-01 1.0096289995e-02 2.5435538616e-03 1.6023463527e-02 1.4870892302e-02 3.3606713745e-02
9.7840884664e-01 9.8625014459e-03 2.4732126597e-03 1.5007166304e-02 1.3935193790e-02 3.3165045059e-02
1.0232562506e+00 9.6120457885e-03 2.3990554905e-03 1.4041238123e-02 1.3045694981e-02 3.2670870808e-02
1.0701593286e+00 9.3456857336e-03 2.3213910635e-03 1.3124065701e-02 1.2200905040e-02 3.2124407680e-02
1.1192123067e+00 9.0491403898e-03 2.2368052696e-03 1.2233689469e-02 1.1380410439e-02 3.1474037312e-02
1.1705137300e+00 8.7395406026e-03 2.1496235428e-03 1.1391356049e-02 1.0604016219e-02 3.0774817927e-02
1.2241666608e+00 8.4044769849e-03 2.0569163868e-03 1.0578334841e-02 9.8542838080e-03 2.9980089145e-02
1.2802788852e+00 8.0451008039e-03 1.9590856815e-03 9.7942979555e-03 9.1309084263e-03 2.9089007141e-02
1.3389631300e+00 7.6558030678e-03 1.8548968891e-03 9.0307130067e-03 8.4259192658e-03 2.8075866612e-02
1.4003372893e+00 7.2473769288e-03 1.7470753134e-03 8.2981469002e-03 7.7491521181e-03 2.6973479690e-02
1.4645246608e+00 6.8095936935e-03 1.6332443554e-03 7.5826653516e-03 7.0876165566e-03 2.5738000384e-02
1.5316541939e+00 6.3381006608e-03 1.5124942956e-03 6.8775406978e-03 6.4349581622e-03 2.4344564294e-02
1.6018607488e+00 5.8432576942e-03 1.3873904605e-03 6.1916972646e-03 5.7994880166e-03 2.2823285452e-02
1.6752853671e+00 5.3197061030e-03 1.2567494781e-03 5.5167104914e-03 5.1732666702e-03 2.1144186154e-02
1.7520755554e+00 4.7692447244e-03 1.1210817502e-03 4.8515835232e-03 4.5552919412e-03 1.9303501960e-02
1.8323855817e+00 4.1849996067e-03 9.7886525325e-04 4.1863074087e-03 3.9360760418e-03 1.7261366175e-02
1.9163767851e+00 3.5848216820e-03 8.3436758681e-04 3.5350734764e-03 3.3288451564e-03 1.5077499910e-02
2.0042178999e+00 2.9559078191e-03 6.8474296199e-04 2.8811891772e-03 2.7177526944e-03 1.2685378217e-02
2.0960853948e+00 2.3051423567e-03 5.3190853705e-04 2.2269412499e-03 2.1047004812e-03 1.0097347371e-02
2.1921638274e+00 1.6371438253e-03 3.7785724816e-04 1.5715646506e-03 1.4884728449e-03 7.3132523959e-03
2.2926462148e+00 9.6495290679e-04 2.2853454574e-04 9.2074523362e-04 8.7285009824e-04 4.3554446134e-03
2.3977344213e+00 3.5591187469e-04 9.5665520224e-05 3.2134972076e-04 2.8883004346e-04 1.3324928206e-03
2.5076395643e+00 5.7143216979e-04 1.4309098892e-04 5.2685235614e-04 4.7272527063e-04 2.4233907193e-03
2.6225824381e+00 1.2473590989e-03 2.9829235118e-04 1.1899022597e-03 1.1092278144e-03 5.9221337669e-03
2.7427939574e+00 1.9644683713e-03 4.6098912988e-04 1.9038528997e-03 1.7912580430e-03 9.7132715558e-03
