# vw  theta0  H_star  beta_over_H  t_p  xi_DM
0.9  1.833  1.5  18.0814  6.63031474e-01  1.33870077e+00
0.9  1.833  1.5  19.5756  6.48999459e-01  1.32661646e+00
0.9  1.833  1.5  21.1933  6.35117519e-01  1.31482401e+00
0.9  1.833  1.5  22.9446  6.21385654e-01  1.30331999e+00
0.9  1.833  1.5  24.8407  6.07803864e-01  1.29210097e+00
0.9  1.833  1.5  26.8934  5.94372149e-01  1.28116350e+00
0.9  1.833  1.5  29.1158  5.81090509e-01  1.27050413e+00
0.9  1.833  1.5  31.5219  5.67958944e-01  1.26011895e+00
0.9  1.833  1.5  34.1267  5.54977454e-01  1.25000541e+00
0.9  1.833  1.5  36.9468  5.46406502e-01  1.24341199e+00
0.9  1.833  1.5  40  5.33675138e-01  1.23374271e+00
0.9  1.833  2  4  7.01757085e-01  1.37289349e+00
0.9  1.833  2  4.33055  6.93402908e-01  1.36541377e+00
0.9  1.833  2  4.68841  6.85098757e-01  1.35803490e+00
0.9  1.833  2  5.07584  6.76844630e-01  1.35075623e+00
0.9  1.833  2  5.4953  6.68640528e-01  1.34357709e+00
0.9  1.833  2  5.94941  6.56428173e-01  1.33299357e+00
0.9  1.833  2  6.44105  6.48349134e-01  1.32606040e+00
0.9  1.833  2  6.97332  6.36324372e-01  1.31584275e+00
0.9  1.833  2  7.54957  6.24412167e-01  1.30584164e+00
0.9  1.833  2  8.17344  6.12612518e-01  1.29605486e+00
0.9  1.833  2  8.84887  6.00925425e-01  1.28648015e+00
0.9  1.833  2  9.58011  5.89350889e-01  1.27711529e+00
0.9  1.833  2  10.3718  5.77888908e-01  1.26795757e+00
0.9  1.833  2  11.2289  5.66539484e-01  1.25900567e+00
0.9  1.833  2  12.1568  5.55302617e-01  1.25025687e+00
0.9  1.833  2  13.1614  5.44178305e-01  1.24170892e+00
0.9  1.833  2  14.249  5.29520977e-01  1.23062018e+00
0.9  1.833  2  15.4265  5.18659297e-01  1.22253207e+00
0.9  1.833  2  16.7013  5.07910173e-01  1.21463726e+00
0.9  1.833  2  18.0814  4.97273606e-01  1.20693346e+00
0.9  1.833  2  19.5756  4.86749594e-01  1.19941840e+00
0.9  1.833  2  21.1933  4.76338139e-01  1.19208977e+00
0.9  1.833  2  22.9446  4.66039240e-01  1.18494530e+00
0.9  1.833  2  24.8407  4.55852898e-01  1.17798268e+00
0.9  1.833  2  26.8934  4.45779112e-01  1.17119962e+00
0.9  1.833  2  29.1158  4.35817882e-01  1.16459380e+00
0.9  1.833  2  31.5219  4.25969208e-01  1.15816291e+00
0.9  1.833  2  34.1267  4.16233091e-01  1.15190462e+00
0.9  1.833  2  36.9468  4.09804877e-01  1.14782717e+00
0.9  1.833  2  40  4.00256353e-01  1.14185139e+00
0.9  2.356  0.5  4  2.80702834e+00  3.41659795e+00
0.9  2.356  0.5  4.33055  2.77361163e+00  3.37223937e+00
0.9  2.356  0.5  4.68841  2.74039503e+00  3.32842025e+00
0.9  2.356  0.5  5.07584  2.70737852e+00  3.28513731e+00
0.9  2.356  0.5  5.4953  2.67456211e+00  3.24238726e+00
0.9  2.356  0.5  5.94941  2.62571269e+00  3.17925421e+00
0.9  2.356  0.5  6.44105  2.59339654e+00  3.13782208e+00
0.9  2.356  0.5  6.97332  2.54529749e+00  3.07665056e+00
0.9  2.356  0.5  7.54957  2.49764867e+00  3.01664124e+00
0.9  2.356  0.5  8.17344  2.45045007e+00  2.95778309e+00
0.9  2.356  0.5  8.84887  2.40370170e+00  2.90006508e+00
0.9  2.356  0.5  9.58011  2.35740355e+00  2.84347621e+00
0.9  2.356  0.5  10.3718  2.31155563e+00  2.78800548e+00
0.9  2.356  0.5  11.2289  2.26615794e+00  2.73364190e+00
0.9  2.356  0.5  12.1568  2.22121047e+00  2.68037449e+00
0.9  2.356  0.5  13.1614  2.17671322e+00  2.62819229e+00
0.9  2.356  0.5  14.249  2.11808391e+00  2.56028517e+00
0.9  2.356  0.5  15.4265  2.07463719e+00  2.51059252e+00
0.9  2.356  0.5  16.7013  2.03164069e+00  2.46194861e+00
0.9  2.356  0.5  18.0814  1.98909442e+00  2.41434250e+00
0.9  2.356  0.5  19.5756  1.94699838e+00  2.36776331e+00
0.9  2.356  0.5  21.1933  1.90535256e+00  2.32220014e+00
0.9  2.356  0.5  22.9446  1.86415696e+00  2.27764211e+00
0.9  2.356  0.5  24.8407  1.82341159e+00  2.23407835e+00
0.9  2.356  0.5  26.8934  1.78311645e+00  2.19149800e+00
0.9  2.356  0.5  29.1158  1.74327153e+00  2.14989023e+00
0.9  2.356  0.5  31.5219  1.70387683e+00  2.10924420e+00
0.9  2.356  0.5  34.1267  1.66493236e+00  2.06954908e+00
0.9  2.356  0.5  36.9468  1.63921951e+00  2.04360862e+00
0.9  2.356  0.5  40  1.60102541e+00  2.00547435e+00
0.9  2.356  1  4  1.40351417e+00  1.81609519e+00
0.9  2.356  1  4.33055  1.38680582e+00  1.80069491e+00
0.9  2.356  1  4.68841  1.37019751e+00  1.78548558e+00
0.9  2.356  1  5.07584  1.35368926e+00  1.77046606e+00
0.9  2.356  1  5.4953  1.33728106e+00  1.75563524e+00
0.9  2.356  1  5.94941  1.31285635e+00  1.73374036e+00
0.9  2.356  1  6.44105  1.29669827e+00  1.71937637e+00
0.9  2.356  1  6.97332  1.27264874e+00  1.69817648e+00
0.9  2.356  1  7.54957  1.24882433e+00  1.67738852e+00
0.9  2.356  1  8.17344  1.22522504e+00  1.65700871e+00
0.9  2.356  1  8.84887  1.20185085e+00  1.63703327e+00
0.9  2.356  1  9.58011  1.17870178e+00  1.61745842e+00
0.9  2.356  1  10.3718  1.15577782e+00  1.59828038e+00
0.9  2.356  1  11.2289  1.13307897e+00  1.57949535e+00
0.9  2.356  1  12.1568  1.11060523e+00  1.56109957e+00
0.9  2.356  1  13.1614  1.08835661e+00  1.54308924e+00
0.9  2.356  1  14.249  1.05904195e+00  1.51966853e+00
0.9  2.356  1  15.4265  1.03731859e+00  1.50254290e+00
0.9  2.356  1  16.7013  1.01582035e+00  1.48579011e+00
0.9  2.356  1  18.0814  9.94547211e-01  1.46940639e+00
0.9  2.356  1  19.5756  9.73499189e-01  1.45338795e+00
0.9  2.356  1  21.1933  9.52676279e-01  1.43773099e+00
0.9  2.356  1  22.9446  9.32078481e-01  1.42243174e+00
0.9  2.356  1  24.8407  9.11705796e-01  1.40748638e+00
0.9  2.356  1  26.8934  8.91558223e-01  1.39289113e+00
0.9  2.356  1  29.1158  8.71635763e-01  1.37864219e+00
0.9  2.356  1  31.5219  8.51938416e-01  1.36473576e+00
0.9  2.356  1  34.1267  8.32466181e-01  1.35116801e+00
0.9  2.356  1  36.9468  8.19609754e-01  1.34230912e+00
0.9  2.356  1  40  8.00512706e-01  1.32929738e+00
0.9  2.356  1.5  4  9.35676113e-01  1.42509031e+00
0.9  2.356  1.5  4.33055  9.24537211e-01  1.41687771e+00
0.9  2.356  1.5  4.68841  9.13465009e-01  1.40876955e+00
0.9  2.356  1.5  5.07584  9.02459507e-01  1.40076523e+00
0.9  2.356  1.5  5.4953  8.91520705e-01  1.39286413e+00
0.9  2.356  1.5  5.94941  8.75237564e-01  1.38120467e+00
0.9  2.356  1.5  6.44105  8.64465512e-01  1.37355894e+00
0.9  2.356  1.5  6.97332  8.48432497e-01  1.36227966e+00
0.9  2.356  1.5  7.54957  8.32549556e-01  1.35122572e+00
0.9  2.356  1.5  8.17344  8.16816691e-01  1.34039504e+00
0.9  2.356  1.5  8.84887  8.01233900e-01  1.32978554e+00
0.9  2.356  1.5  9.58011  7.85801185e-01  1.31939515e+00
0.9  2.356  1.5  10.3718  7.70518544e-01  1.30922177e+00
0.9  2.356  1.5  11.2289  7.55385979e-01  1.29926332e+00
0.9  2.356  1.5  12.1568  7.40403489e-01  1.28951772e+00
0.9  2.356  1.5  13.1614  7.25571074e-01  1.27998285e+00
0.9  2.356  1.5  14.249  7.06027970e-01  1.26759389e+00
0.9  2.356  1.5  15.4265  6.91545730e-01  1.25854259e+00
0.9  2.356  1.5  16.7013  6.77213564e-01  1.24969502e+00
0.9  2.356  1.5  18.0814  6.63031474e-01  1.24104905e+00
0.9  2.356  1.5  19.5756  6.48999459e-01  1.23260259e+00
0.9  2.356  1.5  21.1933  6.35117519e-01  1.22435349e+00
0.9  2.356  1.5  22.9446  6.21385654e-01  1.21629964e+00
0.9  2.356  1.5  24.8407  6.07803864e-01  1.20843889e+00
0.9  2.356  1.5  26.8934  5.94372149e-01  1.20076911e+00
0.9  2.356  1.5  29.1158  5.81090509e-01  1.19328816e+00
0.9  2.356  1.5  31.5219  5.67958944e-01  1.18599386e+00
0.9  2.356  1.5  34.1267  5.54977454e-01  1.17888406e+00
0.9  2.356  1.5  36.9468  5.46406502e-01  1.17424562e+00
0.9  2.356  1.5  40  5.33675138e-01  1.16743850e+00
0.9  2.356  2  4  7.01757085e-01  1.26491309e+00
0.9  2.356  2  4.33055  6.93402908e-01  1.25969710e+00
0.9  2.356  2  4.68841  6.85098757e-01  1.25454911e+00
0.9  2.356  2  5.07584  6.76844630e-01  1.24946872e+00
0.9  2.356  2  5.4953  6.68640528e-01  1.24445551e+00
0.9  2.356  2  5.94941  6.56428173e-01  1.23706078e+00
0.9  2.356  2  6.44105  6.48349134e-01  1.23221376e+00
0.9  2.356  2  6.97332  6.36324372e-01  1.22506638e+00
0.9  2.356  2  7.54957  6.24412167e-01  1.21806558e+00
0.9  2.356  2  8.17344  6.12612518e-01  1.21120997e+00
0.9  2.356  2  8.84887  6.00925425e-01  1.20449815e+00
0.9  2.356  2  9.58011  5.89350889e-01  1.19792873e+00
0.9  2.356  2  10.3718  5.77888908e-01  1.19150032e+00
0.9  2.356  2  11.2289  5.66539484e-01  1.18521152e+00
0.9  2.356  2  12.1568  5.55302617e-01  1.17906091e+00
0.9  2.356  2  13.1614  5.44178305e-01  1.17304709e+00
0.9  2.356  2  14.249  5.29520977e-01  1.16523900e+00
0.9  2.356  2  15.4265  5.18659297e-01  1.15953885e+00
0.9  2.356  2  16.7013  5.07910173e-01  1.15397077e+00
0.9  2.356  2  18.0814  4.97273606e-01  1.14853331e+00
0.9  2.356  2  19.5756  4.86749594e-01  1.14322505e+00
0.9  2.356  2  21.1933  4.76338139e-01  1.13804456e+00
0.9  2.356  2  22.9446  4.66039240e-01  1.13299039e+00
0.9  2.356  2  24.8407  4.55852898e-01  1.12806108e+00
0.9  2.356  2  26.8934  4.45779112e-01  1.12325519e+00
0.9  2.356  2  29.1158  4.35817882e-01  1.11857124e+00
0.9  2.356  2  31.5219  4.25969208e-01  1.11400779e+00
0.9  2.356  2  34.1267  4.16233091e-01  1.10956334e+00
0.9  2.356  2  36.9468  4.09804877e-01  1.10666577e+00
0.9  2.356  2  40  4.00256353e-01  1.10241640e+00
0.9  2.88  0.5  4  2.80702834e+00  2.26021439e+00
0.9  2.88  0.5  4.33055  2.77361163e+00  2.23800156e+00
0.9  2.88  0.5  4.68841  2.74039503e+00  2.21604167e+00
0.9  2.88  0.5  5.07584  2.70737852e+00  2.19433334e+00
0.9  2.88  0.5  5.4953  2.67456211e+00  2.17287515e+00
0.9  2.88  0.5  5.94941  2.62571269e+00  2.14115384e+00
0.9  2.88  0.5  6.44105  2.59339654e+00  2.12031491e+00
0.9  2.88  0.5  6.97332  2.54529749e+00  2.08951599e+00
0.9  2.88  0.5  7.54957  2.49764867e+00  2.05926425e+00
0.9  2.88  0.5  8.17344  2.45045007e+00  2.02955504e+00
0.9  2.88  0.5  8.84887  2.40370170e+00  2.00038372e+00
0.9  2.88  0.5  9.58011  2.35740355e+00  1.97174563e+00
0.9  2.88  0.5  10.3718  2.31155563e+00  1.94363616e+00
0.9  2.88  0.5  11.2289  2.26615794e+00  1.91605069e+00
0.9  2.88  0.5  12.1568  2.22121047e+00  1.88898462e+00
0.9  2.88  0.5  13.1614  2.17671322e+00  1.86243337e+00
0.9  2.88  0.5  14.249  2.11808391e+00  1.82782461e+00
0.9  2.88  0.5  15.4265  2.07463719e+00  1.80245682e+00
0.9  2.88  0.5  16.7013  2.03164069e+00  1.77758863e+00
0.9  2.88  0.5  18.0814  1.98909442e+00  1.75321551e+00
0.9  2.88  0.5  19.5756  1.94699838e+00  1.72933293e+00
0.9  2.88  0.5  21.1933  1.90535256e+00  1.70593638e+00
0.9  2.88  0.5  22.9446  1.86415696e+00  1.68302136e+00
0.9  2.88  0.5  24.8407  1.82341159e+00  1.66058337e+00
0.9  2.88  0.5  26.8934  1.78311645e+00  1.63861793e+00
0.9  2.88  0.5  29.1158  1.74327153e+00  1.61712058e+00
0.9  2.88  0.5  31.5219  1.70387683e+00  1.59608685e+00
0.9  2.88  0.5  34.1267  1.66493236e+00  1.57551229e+00
0.9  2.88  0.5  36.9468  1.63921951e+00  1.56204883e+00
0.9  2.88  0.5  40  1.60102541e+00  1.54222970e+00
0.9  2.88  1  4  1.40351417e+00  1.44328950e+00
0.9  2.88  1  4.33055  1.38680582e+00  1.43520262e+00
0.9  2.88  1  4.68841  1.37019751e+00  1.42720944e+00
0.9  2.88  1  5.07584  1.35368926e+00  1.41930950e+00
0.9  2.88  1  5.4953  1.33728106e+00  1.41150235e+00
0.9  2.88  1  5.94941  1.31285635e+00  1.39996461e+00
0.9  2.88  1  6.44105  1.29669827e+00  1.39238742e+00
0.9  2.88  1  6.97332  1.27264874e+00  1.38119248e+00
0.9  2.88  1  7.54957  1.24882433e+00  1.37020116e+00
0.9  2.88  1  8.17344  1.22522504e+00  1.35941193e+00
0.9  2.88  1  8.84887  1.20185085e+00  1.34882323e+00
0.9  2.88  1  9.58011  1.17870178e+00  1.33843352e+00
0.9  2.88  1  10.3718  1.15577782e+00  1.32824126e+00
0.9  2.88  1  11.2289  1.13307897e+00  1.31824491e+00
0.9  2.88  1  12.1568  1.11060523e+00  1.30844292e+00
0.9  2.88  1  13.1614  1.08835661e+00  1.29883375e+00
0.9  2.88  1  14.249  1.05904195e+00  1.28631877e+00
0.9  2.88  1  15.4265  1.03731859e+00  1.27715347e+00
0.9  2.88  1  16.7013  1.01582035e+00  1.26817581e+00
0.9  2.88  1  18.0814  9.94547211e-01  1.25938425e+00
0.9  2.88  1  19.5756  9.73499189e-01  1.25077722e+00
0.9  2.88  1  21.1933  9.52676279e-01  1.24235315e+00
0.9  2.88  1  22.9446  9.32078481e-01  1.23411049e+00
0.9  2.88  1  24.8407  9.11705796e-01  1.22604766e+00
0.9  2.88  1  26.8934  8.91558223e-01  1.21816309e+00
0.9  2.88  1  29.1158  8.71635763e-01  1.21045519e+00
0.9  2.88  1  31.5219  8.51938416e-01  1.20292239e+00
0.9  2.88  1  34.1267  8.32466181e-01  1.19556308e+00
0.9  2.88  1  36.9468  8.19609754e-01  1.19075247e+00
0.9  2.88  1  40  8.00512706e-01  1.18367877e+00
0.9  2.88  1.5  4  9.35676113e-01  1.23554362e+00
0.9  2.88  1.5  4.33055  9.24537211e-01  1.23111543e+00
0.9  2.88  1.5  4.68841  9.13465009e-01  1.22674034e+00
0.9  2.88  1.5  5.07584  9.02459507e-01  1.22241811e+00
0.9  2.88  1.5  5.4953  8.91520705e-01  1.21814849e+00
0.9  2.88  1.5  5.94941  8.75237564e-01  1.21184212e+00
0.9  2.88  1.5  6.44105  8.64465512e-01  1.20770289e+00
0.9  2.88  1.5  6.97332  8.48432497e-01  1.20159091e+00
0.9  2.88  1.5  7.54957  8.32549556e-01  1.19559440e+00
0.9  2.88  1.5  8.17344  8.16816691e-01  1.18971250e+00
0.9  2.88  1.5  8.84887  8.01233900e-01  1.18394433e+00
0.9  2.88  1.5  9.58011  7.85801185e-01  1.17828901e+00
0.9  2.88  1.5  10.3718  7.70518544e-01  1.17274566e+00
0.9  2.88  1.5  11.2289  7.55385979e-01  1.16731340e+00
0.9  2.88  1.5  12.1568  7.40403489e-01  1.16199133e+00
0.9  2.88  1.5  13.1614  7.25571074e-01  1.15677857e+00
0.9  2.88  1.5  14.249  7.06027970e-01  1.14999670e+00
0.9  2.88  1.5  15.4265  6.91545730e-01  1.14503549e+00
0.9  2.88  1.5  16.7013  6.77213564e-01  1.14018056e+00
0.9  2.88  1.5  18.0814  6.63031474e-01  1.13543101e+00
0.9  2.88  1.5  19.5756  6.48999459e-01  1.13078593e+00
0.9  2.88  1.5  21.1933  6.35117519e-01  1.12624437e+00
0.9  2.88  1.5  22.9446  6.21385654e-01  1.12180541e+00
0.9  2.88  1.5  24.8407  6.07803864e-01  1.11746812e+00
0.9  2.88  1.5  26.8934  5.94372149e-01  1.11323154e+00
0.9  2.88  1.5  29.1158  5.81090509e-01  1.10909473e+00
0.9  2.88  1.5  31.5219  5.67958944e-01  1.10505673e+00
0.9  2.88  1.5  34.1267  5.54977454e-01  1.10111657e+00
0.9  2.88  1.5  36.9468  5.46406502e-01  1.09854368e+00
0.9  2.88  1.5  40  5.33675138e-01  1.09476442e+00
0.9  2.88  2  4  7.01757085e-01  1.14852787e+00
0.9  2.88  2  4.33055  6.93402908e-01  1.14566861e+00
0.9  2.88  2  4.68841  6.85098757e-01  1.14284481e+00
0.9  2.88  2  5.07584  6.76844630e-01  1.14005631e+00
0.9  2.88  2  5.4953  6.68640528e-01  1.13730294e+00
0.9  2.88  2  5.94941  6.56428173e-01  1.13323833e+00
0.9  2.88  2  6.44105  6.48349134e-01  1.13057197e+00
0.9  2.88  2  6.97332  6.36324372e-01  1.12663705e+00
0.9  2.88  2  7.54957  6.24412167e-01  1.12277915e+00
0.9  2.88  2  8.17344  6.12612518e-01  1.11899765e+00
0.9  2.88  2  8.84887  6.00925425e-01  1.11529194e+00
0.9  2.88  2  9.58011  5.89350889e-01  1.11166141e+00
0.9  2.88  2  10.3718  5.77888908e-01  1.10810543e+00
0.9  2.88  2  11.2289  5.66539484e-01  1.10462338e+00
0.9  2.88  2  12.1568  5.55302617e-01  1.10121463e+00
0.9  2.88  2  13.1614  5.44178305e-01  1.09787856e+00
0.9  2.88  2  14.249  5.29520977e-01  1.09354240e+00
0.9  2.88  2  15.4265  5.18659297e-01  1.09037340e+00
0.9  2.88  2  16.7013  5.07910173e-01  1.08727494e+00
0.9  2.88  2  18.0814  4.97273606e-01  1.08424635e+00
0.9  2.88  2  19.5756  4.86749594e-01  1.08128698e+00
0.9  2.88  2  21.1933  4.76338139e-01  1.07839617e+00
0.9  2.88  2  22.9446  4.66039240e-01  1.07557325e+00
0.9  2.88  2  24.8407  4.55852898e-01  1.07281755e+00
0.9  2.88  2  26.8934  4.45779112e-01  1.07012839e+00
0.9  2.88  2  29.1158  4.35817882e-01  1.06750508e+00
0.9  2.88  2  31.5219  4.25969208e-01  1.06494694e+00
0.9  2.88  2  34.1267  4.16233091e-01  1.06245327e+00
0.9  2.88  2  36.9468  4.09804877e-01  1.06082629e+00
0.9  2.88  2  40  4.00256353e-01  1.05843851e+00
